#{"t_start": 1756517235.4149468, "env_id": "None"}
r,l,t
-1.0,1,14.040964
-1.8,3,14.050742
11.5,25,14.074247
0.6,7,14.074247
10.7,25,14.098518
0.2,3,14.109102
1.2,12,14.121856
11.8,23,14.14686
11.3,30,14.171576
0.2,3,14.181903
-1.0,1,14.182724
0.5,2,14.186033
-0.2,5,14.190985
4.8,14,14.203297
0.4,6,14.209845
-0.2,5,14.215096
18.5,42,14.257612
-1.0,1,14.259623
0.5,2,14.261633
13.6,40,14.306158
1.2,12,14.318392
11.2,30,14.345925
12.2,21,14.360819
2.8,12,14.374981
10.4,27,14.394697
19.4,37,14.435396
9.6,18,14.454492
3.8,13,14.468338
6.4,16,14.485382
1.2,4,14.486588
1.3,2,14.490299
7.2,14,14.503061
6.6,17,14.518505
6.6,15,14.532066
0.4,4,14.534258
7.0,24,14.550515
3.0,9,14.565211
4.6,15,14.573725
4.8,16,14.591247
7.6,25,14.615881
0.5,2,14.618198
10.4,25,14.643785
0.4,6,14.647567
1.0,3,14.647567
0.5,8,14.660539
25.9,47,14.714262
8.4,20,14.731191
0.2,5,14.731191
10.5,28,14.759531
10.8,22,14.78256
1.3,2,14.78256
-1.0,3,14.790768
5.6,10,14.798576
0.9,6,14.799323
-0.3,4,14.807602
2.8,12,14.81598
1.8,7,14.823527
2.0,6,14.826849
1.4,11,14.841159
11.6,30,14.873598
11.0,24,14.899359
6.4,18,14.916022
-1.0,1,14.916022
0.5,2,14.916022
7.4,21,14.940129
12.7,29,14.974157
2.4,6,14.978187
0.1,2,14.978187
3.2,8,14.982871
2.2,9,17.115836
12.7,25,17.141001
1.4,5,17.141001
13.9,25,17.165616
38.6,67,17.231987
1.3,2,17.234144
7.2,16,17.248959
7.6,18,17.26562
13.2,22,17.282188
1.3,2,17.282188
0.1,2,17.290581
30.6,58,17.340751
0.8,6,17.34844
-0.4,4,17.351843
1.0,7,17.359987
0.5,2,17.361998
14.5,36,17.392922
-1.0,1,17.392922
3.4,9,17.404792
10.0,18,17.41563
1.9,11,17.433347
2.0,8,17.440731
9.0,21,17.457353
35.2,68,17.52449
6.0,16,17.540703
3.4,9,17.540703
16.4,32,17.572981
1.3,2,17.572981
11.4,21,17.598646
2.2,9,17.605801
9.3,28,17.633435
37.9,65,17.71856
7.4,15,17.741354
14.6,21,17.75717
33.3,58,17.805037
28.7,53,17.867296
32.4,56,17.918404
2.6,9,17.918404
1.0,7,17.933336
7.8,17,17.950729
16.6,33,17.975716
13.8,31,18.012861
34.6,63,18.069563
1.0,9,18.076035
10.2,21,18.086258
43.8,81,18.177794
6.6,19,18.197573
0.5,2,18.197573
0.2,9,18.208475
11.4,21,18.225588
2.8,10,18.225588
19.2,28,18.257288
0.0,4,18.257288
1.3,2,18.257288
2.6,9,18.268844
9.1,27,18.297102
11.9,25,18.315805
12.4,20,18.336152
6.4,14,18.350494
11.3,24,18.37124
13.7,24,18.39024
3.6,12,18.401792
1.3,2,18.401792
21.7,44,18.448737
61.1,105,18.551862
20.5,46,18.598809
0.5,2,18.598809
0.5,2,18.598809
4.0,14,18.60866
20.3,33,18.646501
1.3,2,18.646501
14.1,30,18.679661
3.0,9,18.690913
14.0,25,18.7175
1.3,2,18.7175
12.2,31,18.750393
33.3,64,18.799249
1.3,2,18.799249
0.5,2,18.799249
1.3,2,18.814332
1.3,2,18.817592
5.4,13,18.817592
1.3,2,18.830288
7.5,17,18.846036
0.7,5,18.846036
1.3,2,18.846036
1.3,2,18.846036
1.3,2,18.846036
1.3,6,18.861948
11.8,23,18.877689
41.6,85,18.958379
0.9,6,18.961166
23.4,41,18.994111
2.8,8,19.002607
13.1,25,19.027043
1.3,2,19.027043
5.8,13,19.043522
0.5,4,19.043522
