#{"t_start": 1756517235.4149468, "env_id": "None"}
r,l,t
-0.5,15,1.181945
0.6,9,1.191912
-1.0,1,1.193922
-1.2,4,1.197685
0.5,2,1.197685
1.0,3,1.197685
1.4,5,1.207827
2.4,10,1.213969
1.3,2,1.213969
-1.0,1,1.213969
-1.0,1,1.213969
-1.0,1,1.213969
-2.4,12,1.230095
0.1,2,1.230095
-1.6,6,1.23891
5.6,12,1.250972
1.3,2,1.252576
1.3,2,1.25464
0.5,2,1.255656
-1.0,1,1.25667
-1.0,1,1.25667
0.6,5,1.25667
0.2,7,1.263124
-0.6,3,1.263124
1.4,13,1.282534
-1.0,1,1.282534
-1.2,4,1.282534
0.1,2,1.282534
1.8,5,1.282534
-1.0,1,1.282534
-0.1,11,1.298182
-1.0,1,1.298182
0.2,3,1.30769
0.1,2,1.310038
-1.0,1,1.310038
0.1,2,1.310038
0.3,5,1.314192
0.2,3,1.320262
-0.6,3,1.322275
0.1,2,1.322275
-1.0,1,1.322275
-0.6,3,1.327237
-1.0,1,1.329247
-1.0,1,1.329247
0.1,2,1.331257
-1.0,1,1.331257
-1.0,3,1.334802
-1.0,1,1.337645
0.1,2,1.337645
0.5,2,1.342136
-1.0,1,1.345685
0.1,2,1.345685
-0.8,4,1.353578
2.6,9,1.359613
-1.0,1,1.361624
-1.8,3,1.363635
1.3,2,1.365647
-1.0,1,1.365647
-1.0,1,1.367657
-0.2,9,1.374255
1.7,10,1.383321
-1.8,3,1.383321
2.2,7,1.383321
1.3,2,1.39351
1.2,4,1.39351
1.2,6,1.39351
1.3,2,1.39351
0.2,7,1.412553
-3.1,8,1.420274
-1.7,3,1.422284
-1.8,3,1.425306
2.0,4,1.425306
-1.0,1,1.425306
-1.0,1,1.425306
-0.7,12,1.442391
-3.1,10,1.454558
0.0,6,1.456312
-1.0,3,1.456312
-2.4,8,1.456312
0.1,2,1.456312
-0.8,6,1.474755
0.0,6,1.482269
-1.0,1,1.482269
-2.2,3,1.484461
1.8,9,1.484461
-1.0,1,1.484461
-1.0,1,1.484461
-1.6,8,1.497007
-2.2,3,1.497007
-1.1,4,1.507642
-1.8,3,1.51086
-2.2,5,1.514165
1.2,4,1.519217
2.0,4,1.523339
-1.0,3,1.523339
-1.8,5,1.523339
1.3,2,1.523339
2.0,8,1.523339
-1.0,3,1.539158
0.5,2,1.541845
0.1,2,1.541845
0.7,5,1.541845
-1.0,5,1.541845
3.8,23,1.570535
-1.0,1,1.570535
0.5,2,1.570535
-0.2,7,1.578457
-1.0,5,1.582896
0.1,2,1.582896
0.5,2,1.582896
-1.0,1,1.582896
0.1,2,1.582896
-2.9,7,1.594157
-0.2,9,1.594157
1.5,5,1.607724
-1.8,3,1.609909
0.2,5,1.616172
-2.2,3,1.616172
0.1,2,1.616172
1.2,4,1.623479
-1.0,1,1.623479
1.3,2,1.623479
-1.0,1,1.623479
-1.0,1,1.623479
-1.0,1,1.623479
-0.9,5,1.623479
-0.8,4,1.623479
-0.4,4,1.639436
-0.4,6,1.643767
0.4,6,1.646635
0.5,2,1.646635
1.3,2,1.646635
0.5,2,1.656055
-1.0,1,1.656561
1.3,2,1.657157
-1.0,1,1.657157
-1.0,1,1.657157
1.3,2,1.657157
-1.2,4,1.657157
-2.0,4,1.657157
2.7,11,1.676181
1.3,2,1.677806
-0.4,8,1.682812
-0.2,5,1.682812
1.3,2,1.682812
0.0,6,1.682812
-0.6,7,1.697304
-0.6,3,1.697304
1.3,2,1.697304
4.2,9,1.713005
0.4,4,1.715149
-0.6,5,1.715149
0.6,7,1.72374
-0.5,3,1.72374
-1.0,5,1.72374
-1.0,1,1.72374
1.6,10,1.741187
