timestamp,command,duration_s,exit_code,cpu_pct_avg,mem_kb_max,tag,label
2025-06-14 01:36:10,coverage run --source=. manage.py test --parallel --exclude-tag=functional,3.01,0,60.42,58568,,success
2025-06-14 01:36:24,coverage run --append --source=. manage.py test --tag=functional,9.02,0,24.9,59368,,success
