timestamp,command,duration_s,exit_code,cpu_pct_avg,mem_kb_max,tag
2025-06-14 20:09:44,coverage run --source=. manage.py test --parallel --exclude-tag=functional,3.01,0,60.02,58840,success
2025-06-14 20:09:57,coverage run --append --source=. manage.py test --tag=functional,8.52,0,25.03,59216,success
