timestamp,command,duration_s,exit_code,cpu_pct_avg,mem_kb_max,tag,pipeline_id,label
2025-06-13 11:32:12,coverage run --append --source=. manage.py test --tag=functional,8.52,0,23.88,59436,",success",1868416239.0,
2025-06-13 11:43:37,coverage run --source=. manage.py test --parallel --exclude-tag=functional,3.01,0,59.4,58916,",success",1868437344.0,
2025-06-13 11:43:51,coverage run --append --source=. manage.py test --tag=functional,9.02,0,23.74,59456,",success",1868437344.0,
2025-06-13 11:45:21,coverage run --source=. manage.py test --parallel --exclude-tag=functional,3.51,0,52.3,58728,",success",1868440505.0,
2025-06-13 11:45:35,coverage run --append --source=. manage.py test --tag=functional,8.52,0,26.15,58984,",success",1868440505.0,
2025-06-13 11:59:35,coverage run --source=. manage.py test --parallel --exclude-tag=functional,3.51,0,54.47,59124,",success",1868463192.0,
2025-06-13 11:59:49,coverage run --append --source=. manage.py test --tag=functional,9.02,0,27.52,59496,",success",1868463192.0,
2025-06-13 12:12:21,coverage run --source=. manage.py test --parallel --exclude-tag=functional,3.51,0,55.31,58784,",success",1868490686.0,
2025-06-13 12:12:34,coverage run --append --source=. manage.py test --tag=functional,8.52,0,26.92,59136,",success",1868490686.0,
2025-06-13 12:30:26,coverage run --source=. manage.py test --parallel --exclude-tag=functional,3.01,0,60.17,58752,",success",1868520491.0,
2025-06-13 12:30:40,coverage run --append --source=. manage.py test --tag=functional,8.52,0,25.12,59352,",success",1868520491.0,
2025-06-13 12:54:02,coverage run --source=. manage.py test --parallel --exclude-tag=functional,3.51,0,53.27,59052,",success",1868560350.0,
2025-06-13 12:54:16,coverage run --append --source=. manage.py test --tag=functional,8.52,0,25.57,59232,",success",1868560350.0,
2025-06-13 13:05:48,coverage run --source=. manage.py test --parallel --exclude-tag=functional,3.01,0,60.02,58932,",success",1868577817.0,
2025-06-13 13:06:02,coverage run --append --source=. manage.py test --tag=functional,9.02,0,23.27,59524,",success",1868577817.0,
2025-06-13 13:16:32,coverage run --source=. manage.py test --parallel --exclude-tag=functional,3.01,0,60.42,59032,",success",1868601904.0,
2025-06-13 13:16:46,coverage run --append --source=. manage.py test --tag=functional,9.02,0,27.73,59168,",success",1868601904.0,
2025-06-13 13:49:27,coverage run --source=. manage.py test --parallel --exclude-tag=functional,3.51,0,53.69,58596,",success",1868666737.0,
2025-06-13 13:49:41,coverage run --append --source=. manage.py test --tag=functional,8.52,0,28.27,59056,",success",1868666737.0,
2025-06-13 14:24:47,coverage run --source=. manage.py test --parallel --exclude-tag=functional,3.01,0,59.67,58804,",success",1868733150.0,
2025-06-13 14:25:00,coverage run --append --source=. manage.py test --tag=functional,8.52,0,24.74,59280,",success",1868733150.0,
2025-06-13 14:38:35,coverage run --source=. manage.py test --parallel --exclude-tag=functional,3.51,0,53.93,58684,",success",1868760326.0,
2025-06-13 14:38:49,coverage run --append --source=. manage.py test --tag=functional,9.02,0,27.0,59048,",success",1868760326.0,
2025-06-13 14:52:31,coverage run --source=. manage.py test --parallel --exclude-tag=functional,3.51,0,53.79,58900,",success",1868786013.0,
2025-06-13 14:52:45,coverage run --append --source=. manage.py test --tag=functional,8.52,0,27.62,59036,",success",1868786013.0,
2025-06-13 15:20:18,coverage run --source=. manage.py test --parallel --exclude-tag=functional,3.51,0,53.01,58856,",success",1868837411.0,
2025-06-13 15:20:32,coverage run --append --source=. manage.py test --tag=functional,8.52,0,27.8,59200,",success",1868837411.0,
2025-06-13 15:49:52,coverage run --source=. manage.py test --parallel --exclude-tag=functional,3.51,0,52.47,59004,",success",1868889517.0,
2025-06-13 15:50:06,coverage run --append --source=. manage.py test --tag=functional,8.52,0,27.26,59088,",success",1868889517.0,
2025-06-13 16:55:38,coverage run --source=. manage.py test --parallel --exclude-tag=functional,3.01,0,60.1,58772,",success",1868986212.0,
2025-06-13 16:55:52,coverage run --append --source=. manage.py test --tag=functional,8.52,0,24.37,59148,",success",1868986212.0,
2025-06-13 23:41:07,coverage run --source=. manage.py test --parallel --exclude-tag=functional,3.01,0,60.58,58680,",success",1869479746.0,
2025-06-13 23:41:21,coverage run --append --source=. manage.py test --tag=functional,9.02,0,24.99,59196,",success",1869479746.0,
2025-06-14 00:53:56,coverage run --source=. manage.py test --parallel --exclude-tag=functional,3.51,0,52.83,58756,,1869528737.0,success
2025-06-14 00:54:10,coverage run --append --source=. manage.py test --tag=functional,9.02,0,27.02,59600,,1869528737.0,success
2025-06-14 01:12:42,coverage run --source=. manage.py test --parallel --exclude-tag=functional,3.01,0,59.98,59032,,1869545543.0,success
2025-06-14 01:12:56,coverage run --append --source=. manage.py test --tag=functional,9.02,0,24.9,59436,,1869545543.0,success
2025-06-14 01:36:10,coverage run --source=. manage.py test --parallel --exclude-tag=functional,3.01,0,60.42,58568,,1869563799.0,success
2025-06-14 01:36:24,coverage run --append --source=. manage.py test --tag=functional,9.02,0,24.9,59368,,1869563799.0,success
2025-06-14 01:53:46,coverage run --source=. manage.py test --parallel --exclude-tag=functional,3.51,0,58.23,58996,,1869571018.0,success
2025-06-14 01:54:00,coverage run --append --source=. manage.py test --tag=functional,9.02,0,28.13,59484,,1869571018.0,success
2025-06-14 02:22:25,coverage run --source=. manage.py test --parallel --exclude-tag=functional,3.51,0,54.87,58824,,1869591171.0,success
2025-06-14 02:22:39,coverage run --append --source=. manage.py test --tag=functional,9.02,0,27.27,59076,,1869591171.0,success
2025-06-14 17:06:34,coverage run --source=. manage.py test --parallel --exclude-tag=functional,3.01,0,59.67,58852,,,success
2025-06-14 17:06:48,coverage run --append --source=. manage.py test --tag=functional,8.52,0,25.25,59064,,,success
2025-06-14 19:02:01,coverage run --source=. manage.py test --parallel --exclude-tag=functional,4.01,0,53.59,58860,success,,
2025-06-14 19:02:16,coverage run --append --source=. manage.py test --tag=functional,10.02,0,31.95,59396,success,,
